country_code;year;fishing_tech;vessel_length;totkwfishdays;totenercost;enerbykwfishdy;totcrewwage;totlandginc;wagebyinc;totrepcost;repbykwfishday;totvarcost;varbykwfishday
ESP;2008;DFN;VL0010;65682,72;20967,19;0,319219271;57717,61;304180,26;0,189748046;7685,68;0,117012207;27826,02;0,423642931
ESP;2008;DFN;VL1012;85229,44;101785,09;1,19424802;339765,9;850631,64;0,399427771;69564,43;0,81620189;147028,2;1,725087012
ESP;2008;DFN;VL1218;987945,61;371413,52;0,375945311;4335483,6;7158030,88;0,605681042;388995,28;0,393741595;1027053,6;1,039585165
ESP;2008;DFN;VL1824;769663,98;922000,07;1,197925451;4586018,13;10005668,17;0,458342017;635841,13;0,826128215;1270322,93;1,650490296
ESP;2008;DFN;VL2440;7956066,91;12749246,4;1,602455905;27830092,27;67751965,1;0,410764355;3723829,06;0,468048987;19589475,55;2,462205983
ESP;2009;DFN;VL0010;70561,78;61135,46;0,8664104;307989,71;539369,27;0,571018275;20772,49;0,294387273;135310,97;1,917624102
ESP;2009;DFN;VL1012;70498,52;79416,35;1,126496698;236320,65;558504,75;0,423130958;63466,64;0,900254927;67674,18;0,959937599
ESP;2009;DFN;VL1218;1011077,2;1815185,65;1,795298767;8329491,59;16800004,8;0,495802929;1518897,41;1,502256613;2092128,86;2,069207831
ESP;2009;DFN;VL1824;730027,95;944559,73;1,293867899;4131528,97;9784307,2;0,422260758;578228,28;0,792063208;1120676,28;1,53511421
ESP;2009;DFN;VL2440;800066,92;832535,1;1,04058183;3713948,42;9255505,74;0,401269096;534569,81;0,668156371;2478448,38;3,097801344
ESP;2010;DFN;VL1218;685502,22;366769,89;0,535038224;1712892,29;4548367,76;0,376594941;144447,44;0,210717684;465698,16;0,679353248
ESP;2010;DFN;VL1824;734184,57;1207222,33;1,644303598;3583754,18;8350360,32;0,429173598;768183,38;1,04630826;1360446,27;1,853003081
ESP;2010;DFN;VL2440;592274,25;554273,92;0,935839976;2413916,77;3535280,32;0,682807741;245628,95;0,414721643;447371,48;0,755345146
ESP;2011;DFN;VL0612;822762,93;671858,27;0,81658792;1988019,85;6098338,76;0,325993673;356632,65;0,433457363;554730,94;0,67422938
ESP;2011;DFN;VL1012;961092,07;871645,47;0,90693233;3228078,4;8267606,19;0,39044898;368402,73;0,383316793;1376977,96;1,432722216
ESP;2011;DFN;VL1218;2940528,05;3512903,92;1,194650709;14876727,1;32062173,15;0,463996219;2115429,26;0,71940455;5114060,7;1,739164059
ESP;2011;DFN;VL1824;703093,38;1304000,52;1,854661923;8297102,05;16526573,94;0,502046103;1084896,05;1,543032662;2384508,8;3,39145392
ESP;2012;DFN;VL0612;897325,84;610558;0,680419501;1727822;5341123,33;0,323494122;321354;0,35812409;415109,67;0,462607507
ESP;2012;DFN;VL1012;1040257,6;772486,05;0,742591114;1368731,13;4783423,85;0,286140466;216661,9;0,208277161;1278416,43;1,228942168
ESP;2012;DFN;VL1218;3089767,3;8842446,32;2,861848632;4617173,24;11879006,78;0,388683442;809689,58;0,262055197;2086860,6;0,675410281
ESP;2012;DFN;VL1824;1078050,01;2469479,04;2,290690615;7507224,27;16519174,2;0,454455179;959975,46;0,890473959;1650003,03;1,530544051
ESP;2012;DFN;VL2440;812321,33;1652769,7;2,03462551;5407637,7;12116243,97;0,446313042;353370,5;0,435013199;865428,23;1,065376715
ESP;2013;DFN;VL1012;887353,86;378896,62;0,42699608;915000;4089777,94;0,223728528;48800;0,054994971;469700;0,529326598
ESP;2013;DFN;VL1218;2907762,27;3271624,65;1,125134845;9290009,21;18937598,45;0,490558992;1582019,19;0,544067583;917379,18;0,315493185
ESP;2013;DFN;VL1824;737508,09;2360351,18;3,200441069;5242239;13375875,6;0,391917446;1284337,73;1,741455785;882042;1,195976033
ESP;2014;DFN;VL0612;785571,96;923171,34;1,175158212;5543543,04;9829661,94;0,563960701;934901,1;1,190089702;1088665,2;1,385824922
ESP;2014;DFN;VL1012;893441,49;747967,88;0,83717612;2014929,79;4087619,63;0,492934757;93721,1;0,104898979;1163373,03;1,302125593
ESP;2014;DFN;VL1218;2859955,75;2869371,45;1,003292254;8276008,39;18824303,46;0,439644867;1792612,6;0,62679732;2612959,99;0,91363651
ESP;2014;DFN;VL1824;839649,98;1207726,11;1,438368533;6075723,31;12957597,02;0,468892751;743891,89;0,885954752;1847212,13;2,19997877
ESP;2015;DFN;VL0612;403199,12;196020;0,486161775;589048,43;2733828,75;0,21546647;200497,5;0,49726671;449935,43;1,11591372
ESP;2015;DFN;VL1012;825790,39;458761,42;0,555542212;1434980,26;5540952,4;0,258977186;195028,56;0,23617199;213546,69;0,258596725
ESP;2015;DFN;VL1218;2430982,61;1476784,06;0,60748442;6428963,39;13488210,68;0,476635748;1367057,57;0,562347737;2076468,08;0,854168216
ESP;2015;DFN;VL1824;868580,9;1545677,38;1,779543368;5879928,84;12427434,06;0,473141021;1001112,92;1,152584543;1623511,37;1,869153892
ESP;2016;DFN;VL0612;738876,12;304991,82;0,412778018;1525828,08;4875192,63;0,312978008;288001,98;0,389783852;436420,32;0,590654249
ESP;2016;DFN;VL1012;760195,72;481942,28;0,633971315;3047462,51;9248682,11;0,329502352;375430,1;0,493859792;328444,52;0,432052577
ESP;2016;DFN;VL1218;2584538,63;2172083,41;0,840414372;10342033,31;25216199,91;0,410134491;1968951,36;0,761819281;3289034,82;1,272581025
ESP;2016;DFN;VL1824;619495,62;702251,49;1,133585884;3315677,43;7199745,53;0,460527031;523512,4;0,845062311;1308833,59;2,112740668
FIN;2010;DFN;VL1218;33595;27673;0,823723768;1784;160082;0,011144289;24396;0,726179491;13657;0,406518827
FIN;2011;DFN;VL1218;34086;35813;1,050665963;14180;184345;0,076920991;37072;1,087601948;11871;0,34826615
FRA;2008;DFN;VL0006;35596,24;105330;2,959020391;1235888;2030409;0,608689185;71448;2,007178286;72600;2,039541255
FRA;2008;DFN;VL0010;2753468,34;2322524;0,84349036;12668793;27438838;0,461710259;1955565;0,710218807;1079192;0,391939135
FRA;2008;DFN;VL0612;749715;1617682;2,15772927;11029183;18838155;0,585470445;898583;1,198566122;597995;0,797629766
FRA;2008;DFN;VL1012;5320811,7;4125901;0,77542699;23132204;51114034;0,452560719;2699400;0,507328609;3057133;0,574561396
FRA;2008;DFN;VL1218;3576413,13;3786221;1,058664327;18393641;42298275;0,434855582;2537435;0,709491579;2446105;0,68395482
FRA;2008;DFN;VL1824;2907496,06;3204697;1,102218863;12157968;30831624;0,394334337;1990663;0,68466576;2567202;0,882959752
FRA;2008;DFN;VL2440;1898631,21;2688215;1,415870015;12887419;30833594;0,417966812;894976;0,471379589;1626467;0,856652409
FRA;2009;DFN;VL0006;63331,15;162291;2,562577815;1171507;2271347;0,515776321;68724;1,085153199;118498;1,871085556
FRA;2009;DFN;VL0010;2281734,42;1512400;0,662829112;12498330;26191524;0,477189873;1740640;0,762858282;2793927;1,224475108
FRA;2009;DFN;VL0612;1209737,62;1605709;1,327320051;15046188;29166189;0,515877751;979762;0,809896281;957534;0,791522049
FRA;2009;DFN;VL1012;4002399,92;2869981;0,717065025;22569972;48311048;0,467180344;2770719;0,692264405;4683880;1,170267863
FRA;2009;DFN;VL1218;3148494,41;2736891;0,869269766;17489359;38238318;0,457377832;2477969;0,787033;4146427;1,31695549
FRA;2009;DFN;VL1824;2773753,31;2420053;0,872483141;12088683;28215202;0,428445736;2825725;1,018736955;3375163;1,216821621
FRA;2009;DFN;VL2440;1805719,78;2318154;1,28378391;11941977;26036667;0,458659974;1843076;1,020687717;2811818;1,557172952
FRA;2012;DFN;VL0006;93838,07;114219,96;1,217202783;1186894,4;2324007,28;0,510710276;58447,85;0,622858612;52383,35;0,558231323
FRA;2012;DFN;VL0010;3429138,91;1858124,95;0,541863424;9989828,77;22485438,16;0,444279925;1162875,8;0,339115979;2157245,24;0,629092404
FRA;2012;DFN;VL0612;1510946,22;1207563,15;0,799209882;6817648,06;13569863,1;0,502410968;507888,1;0,336139098;371349,49;0,245772805
FRA;2012;DFN;VL1012;4667655,59;5159754,71;1,10542747;23910128,18;55645343,53;0,429687853;2876390,76;0,61623886;7088730,32;1,518691811
FRA;2012;DFN;VL1218;3046737,99;3366659,16;1,10500449;15925172,73;35580068,44;0,447586905;2463183,81;0,808465913;4564635,42;1,498204124
FRA;2012;DFN;VL1824;2134714,75;3702527,6;1,734436697;17126990,38;37876179,23;0,452183687;2261415,36;1,059352478;4594741,58;2,152391358
FRA;2012;DFN;VL2440;1626747,01;3889250,42;2,39081455;14563426,42;39226450,87;0,371265462;2144634,64;1,318357819;3229682,24;1,985362334
