FleetSeg;Nb_Vessels;Nb_crew;Annual_other_income;Landing_costs_percent;Crewshare_and_unpaid_labour_costs_percent;Other_variable_costs_per_unit_effort;Annual_insurance_costs_per_crew;Standard_labour_hour_opportunity_costs;Standard_annual_full_time_employment_hours;Other_annual_fixed_costs;Vessel_value;Annual_depreciation_rate;Opportunity_interest_rate;Annual_discount_rate
DEUBEM1218;112.666666666667;171.333333333333;953938;-0.0162871428807685;0.380874589233551;0.639037201700805;0;34.09;128;3434511.66666667;9201745.33333333;4;4;4
DEUBEM1824;62.6666666666667;144.666666666667;977058.333333333;-0.0102159303011717;0.354544761051614;0.924164915683418;0;34.09;108;2833883;10593728.3333333;4;4;4
DEUBEM2440;9;49;251.666666666667;0.00217678269947527;0.273817184848735;37.8617800778849;0;34.09;36;558779;5434457.66666667;4;4;4
DEUDSN1218;27.6666666666667;25;214580.333333333;-0.00276028877706134;0.43038421752757;2.66207471264367;0;34.09;18.6666666666667;480550.333333333;2460899.33333333;4;4;4
DEUDSN1824;15;51.3333333333333;196338;-0.000573992187774359;0.288691064217881;15.3900800164136;0;34.09;36.3333333333333;551434.333333333;5061743;4;4;4
DEUDSN2440;10.3333333333333;58;665621.666666667;-0.00937540515114864;0.342192444504337;44.3605120499674;0;34.09;40.3333333333333;887801;10017365.3333333;4;4;4
DEUDSN4000;6.66666666666667;187.666666666667;596235.666666667;-0.00363036031631959;0.340760660541659;181.44743051914;0;34.09;130.333333333333;3418474.66666667;44603150.3333333;4;4;4
DEUGIL1218;7;10.3333333333333;13525;0.0178857088516181;0.523376100865289;4.48764510779436;0;34.09;7.33333333333333;70186.3333333333;517968.333333333;4;4;4
DEUGIL2440;6;83.6666666666667;0;0.0101124066818034;0.474757506743461;12.0345393037909;0;34.09;57;1426726.66666667;3132408.66666667;4;4;4
DEUPTW4000;11.3333333333333;NA;NA;NA;NA;NA;0;34.09;NA;NA;NA;4;4;4
DNKBEM1218;11.3333333333333;23.1033333333333;67830.8833333333;-1.12944988468047e-08;0.396228847004239;5.34394126984127;0;42.48;23.46;281483.006666667;6515078.27;4;4;4
DNKBEM1824;17;41.0533333333333;103695.363333333;5.62393101368819e-08;0.360119403428816;6.71379364674025;0;42.48;40.6033333333333;453531.926666667;11766545.5433333;4;4;4
DNKDRG1218;24;38.6566666666667;136592.656666667;0.00466528577208735;0.249703453618703;7.34572927567877;0;42.48;24.08;586767.193333333;10740500.5066667;4;4;4
DNKDSN1218;119.666666666667;222.523333333333;133175.233333333;-0.0019050332760907;0.375740176760602;11.8644763621325;0;42.48;185.83;2393245.89;40126421.2266667;4;4;4
DNKDSN4000;12.3333333333333;57.3366666666667;997670.566666667;0.00322279461824996;0.207928422357424;65.4733169154749;0;42.48;68.35;1555483.94666667;40909254.81;4;4;4
DNKGIL1218;30.3333333333333;60.8933333333333;56266.6733333333;0.000168297320107546;0.448282890531918;17.0262852533132;0;42.48;59.62;561149.943333333;11075603.27;4;4;4
DNKNON1218;33.3333333333333;55.3766666666667;20074.4866666667;0.00437410261034201;0.365033994281386;12.2418916930191;0;42.48;43.89;647546.253333333;11075656.7866667;4;4;4
DNKNON1824;14.6666666666667;58.85;183543.206666667;-0.000116235814754924;0.343114745644098;32.8947829834097;0;42.48;85.5366666666667;782200.596666667;18118854.6133333;4;4;4
DNKPTW1218;13.6666666666667;31.0033333333333;0;0.00942084597214983;0.287909183669994;24.9788475897941;0;42.48;24.5433333333333;482915.293333333;11215160.9233333;4;4;4
DNKPTW4000;18.6666666666667;121.313333333333;4025581.93;0.00107332393875891;0.154768162688611;104.296549602656;0;42.48;159.21;5321972.67;289736964.95;4;4;4
