FleetSeg;Nb_Vessels;Nb_crew;Annual_other_income;Landing_costs_percent;Crewshare_and_unpaid_labour_costs_percent;Other_variable_costs_per_unit_effort;Annual_insurance_costs_per_crew;Standard_labour_hour_opportunity_costs;Standard_annual_full_time_employment_hours;Other_annual_fixed_costs;Vessel_value;Annual_depreciation_rate;Opportunity_interest_rate;Annual_discount_rate
ESTNON1218;2.33333333333333;NA;NA;NA;NA;NA;0;11.74;NA;NA;23043;4;4;4
ESTPTW2440;26.3333333333333;152;8747.33333333333;-4.4839256991779e-07;0.392050542546336;8.24013402483455;0;11.74;131.666666666667;467620;11027439.6666667;4;4;4
FINNON1218;3.33333333333333;NA;NA;NA;NA;NA;0;32.72;NA;NA;1309514;4;4;4
FINPTW1218;27.3333333333333;27.6666666666667;211726.666666667;0.0984917697970415;0.204310520344662;4.48378928595465;0;32.72;16.3333333333333;412217;2104181;4;4;4
FINPTW1824;14;26.3333333333333;111531.666666667;0.209801837052537;0.407793488608482;2.19319695694853;0;32.72;21.3333333333333;786166.666666667;3970347.66666667;4;4;4
FINPTW2440;22.6666666666667;99.6666666666667;403297;0.0500944191714846;0.144520817558111;16.1694396460284;0;32.72;74;1996069.33333333;17094719.6666667;4;4;4
LVAPTW1218;11.3333333333333;45;217748;0;0.285502613448987;13.1790208415258;0;8.06;25.3333333333333;347916;1655034;4;4;4
LVAPTW2440;47.3333333333333;316.333333333333;916948.666666667;0;0.164965014620455;18.4158524147914;0;8.06;123.333333333333;4039212;8546498;4;4;4
LTUDSN2440;15.3333333333333;127.333333333333;18866.7733333333;0.0150096210297756;0.315808870851513;7.52151230719496;0;8;86.27;408868.166666667;2630873.43;4;4;4
LTUNON1218;1;NA;NA;NA;NA;NA;0;8;NA;NA;-1;4;4;4
LTUNON1824;1;NA;NA;NA;NA;NA;0;8;NA;NA;-1;4;4;4
LTUNON2440;4.33333333333333;NA;NA;NA;NA;NA;0;8;NA;NA;1262663.98;4;4;4
LTUPTW2440;8;61.3333333333333;6584.66666666667;-0.0696952008745629;0.226244808271568;50.7465866219906;0;8;32.3666666666667;248339.863333333;2947025.54666667;4;4;4
POLDSN1218;69.3333333333333;277.92;115951.723333333;-0.000176023296744495;0.233416803191129;3.65665062230322;0;9.36;280.643333333333;679991;14691960.6666667;4;4;4
POLDSN1824;53.6666666666667;255.866666666667;54736.79;-0.000105171509332548;0.195494188238316;5.04839943424547;0;9.36;250.42;824622.333333333;16136861.3333333;4;4;4
POLDSN4000;1;36.6666666666667;NA;NA;NA;NA;0;9.36;35;NA;NA;4;4;4
POLNON1218;6;NA;NA;NA;NA;NA;0;9.36;NA;NA;1197193.66666667;4;4;4
POLNON1824;1.33333333333333;NA;NA;NA;NA;NA;0;9.36;NA;NA;548920;4;4;4
POLPTW1824;22.6666666666667;91.9733333333333;37337.2333333333;-0.000244519254430779;0.144162673766865;3.91171289439432;0;9.36;73.13;410773.666666667;8911730.66666667;4;4;4
POLPTW2440;42.6666666666667;253.713333333333;11775.7166666667;-0.000206638645703743;0.202386575730824;12.1765103318075;0;9.36;257.316666666667;1944921.66666667;33025787.3333333;4;4;4
SWEDSN1218;71;133.313333333333;296425.216666667;4.43018059394169e-10;0.280701009264547;7.5887271305337;0;38.33;87.8266666666667;1224105.60666667;9634047.46;4;4;4
SWEDSN1824;40.3333333333333;118.946666666667;1383683.01333333;0;0.239364245752762;11.1376352905409;0;38.33;107.35;1376809.54333333;9489804.55;4;4;4
SWEDSN2440;39.6666666666667;227.813333333333;4741289.78;3.26768718050044e-10;0.156927375043705;26.7261438387636;0;38.33;195.616666666667;2914905.70333333;85608222.7466667;4;4;4
SWEGIL0010;609.666666666667;708.51;2097300.28333333;3.38504015474683e-09;0.903260311499259;0.928266715197359;0;38.33;218.85;1388751.45;14378558.5933333;4;4;4
SWEGIL1012;132.666666666667;189.37;654497.763333333;0;0.397024482100178;3.02824321723474;0;38.33;64.14;722465.96;8103028.66666667;4;4;4
SWEGIL1218;14.3333333333333;25.7533333333333;245401.89;1.66856418625352e-08;0.469966133487566;1.89392222640247;0;38.33;10.27;88291.28;766421.453333333;4;4;4
SWENON1218;13;NA;NA;NA;NA;NA;0;38.33;NA;NA;411121.69;4;4;4
