c_square,EcoRegion,ICESRect,StatArea
1500:100:120:3,Greater North Sea,29F0,27.7.d
1500:100:120:4,Greater North Sea,29F0,27.7.d
1500:100:121:1,Greater North Sea,29F0,27.7.d
1500:100:121:2,Greater North Sea,29F0,27.7.d
1500:100:121:3,Greater North Sea,29F0,27.7.d
1500:100:121:4,Greater North Sea,29F0,27.7.d
1500:100:122:1,Greater North Sea,29F0,27.7.d
1500:100:122:2,Greater North Sea,29F0,27.7.d
1500:100:122:3,Greater North Sea,29F0,27.7.d
1500:100:122:4,Greater North Sea,29F0,27.7.d
1500:100:123:1,Greater North Sea,29F0,27.7.d
1500:100:123:2,Greater North Sea,29F0,27.7.d
1500:100:123:3,Greater North Sea,29F0,27.7.d
1500:100:123:4,Greater North Sea,29F0,27.7.d
1500:100:124:1,Greater North Sea,29F0,27.7.d
1500:100:124:2,Greater North Sea,29F0,27.7.d
1500:100:124:3,Greater North Sea,29F0,27.7.d
1500:100:124:4,Greater North Sea,29F0,27.7.d
1500:100:130:1,Greater North Sea,29F0,27.7.d
1500:100:130:2,Greater North Sea,29F0,27.7.d
1500:100:130:3,Greater North Sea,29F0,27.7.d
1500:100:130:4,Greater North Sea,29F0,27.7.d
1500:100:131:1,Greater North Sea,29F0,27.7.d
1500:100:131:2,Greater North Sea,29F0,27.7.d
1500:100:131:3,Greater North Sea,29F0,27.7.d
1500:100:131:4,Greater North Sea,29F0,27.7.d
1500:100:132:1,Greater North Sea,29F0,27.7.d
1500:100:132:2,Greater North Sea,29F0,27.7.d
1500:100:132:3,Greater North Sea,29F0,27.7.d
1500:100:132:4,Greater North Sea,29F0,27.7.d
1500:100:133:1,Greater North Sea,29F0,27.7.d
1500:100:133:2,Greater North Sea,29F0,27.7.d
1500:100:133:3,Greater North Sea,29F0,27.7.d
1500:100:133:4,Greater North Sea,29F0,27.7.d
1500:100:134:1,Greater North Sea,29F0,27.7.d
1500:100:134:2,Greater North Sea,29F0,27.7.d
1500:100:134:3,Greater North Sea,29F0,27.7.d
1500:100:134:4,Greater North Sea,29F0,27.7.d
1500:100:140:1,Greater North Sea,29F0,27.7.d
1500:100:140:2,Greater North Sea,29F0,27.7.d
1500:100:140:3,Greater North Sea,29F0,27.7.d
1500:100:140:4,Greater North Sea,29F0,27.7.d
1500:100:141:1,Greater North Sea,29F0,27.7.d
1500:100:141:2,Greater North Sea,29F0,27.7.d
1500:100:141:3,Greater North Sea,29F0,27.7.d
1500:100:141:4,Greater North Sea,29F0,27.7.d
1500:100:142:1,Greater North Sea,29F0,27.7.d
1500:100:142:2,Greater North Sea,29F0,27.7.d
1500:100:142:3,Greater North Sea,29F0,27.7.d
1500:100:142:4,Greater North Sea,29F0,27.7.d
1500:100:143:1,Greater North Sea,29F0,27.7.d
1500:100:143:2,Greater North Sea,29F0,27.7.d
1500:100:143:3,Greater North Sea,29F0,27.7.d
1500:100:143:4,Greater North Sea,29F0,27.7.d
1500:100:144:1,Greater North Sea,29F0,27.7.d
1500:100:144:2,Greater North Sea,29F0,27.7.d
1500:100:144:3,Greater North Sea,29F0,27.7.d
1500:100:144:4,Greater North Sea,29F0,27.7.d
1500:100:205:1,Greater North Sea,29F0,27.7.d
1500:100:205:2,Greater North Sea,29F0,27.7.d
1500:100:205:3,Greater North Sea,29F0,27.7.d
1500:100:205:4,Greater North Sea,29F0,27.7.d
1500:100:206:1,Greater North Sea,29F0,27.7.d
1500:100:206:2,Greater North Sea,29F0,27.7.d
1500:100:206:3,Greater North Sea,29F0,27.7.d
1500:100:206:4,Greater North Sea,29F0,27.7.d
1500:100:207:1,Greater North Sea,29F0,27.7.d
1500:100:207:2,Greater North Sea,29F0,27.7.d
1500:100:207:3,Greater North Sea,29F0,27.7.d
1500:100:207:4,Greater North Sea,29F0,27.7.d
1500:100:208:1,Greater North Sea,29F0,27.7.d
1500:100:208:2,Greater North Sea,29F0,27.7.d
1500:100:208:3,Greater North Sea,29F0,27.7.d
1500:100:208:4,Greater North Sea,29F0,27.7.d
1500:100:209:1,Greater North Sea,29F0,27.7.d
1500:100:209:2,Greater North Sea,29F0,27.7.d
1500:100:209:3,Greater North Sea,29F0,27.7.d
1500:100:209:4,Greater North Sea,29F0,27.7.d
1500:100:215:1,Greater North Sea,29F0,27.7.d
1500:100:215:2,Greater North Sea,29F0,27.7.d
1500:100:215:3,Greater North Sea,29F0,27.7.d
1500:100:215:4,Greater North Sea,29F0,27.7.d
1500:100:216:1,Greater North Sea,29F0,27.7.d
1500:100:216:2,Greater North Sea,29F0,27.7.d
1500:100:216:3,Greater North Sea,29F0,27.7.d
1500:100:216:4,Greater North Sea,29F0,27.7.d
1500:100:217:1,Greater North Sea,29F0,27.7.d
1500:100:217:2,Greater North Sea,29F0,27.7.d
1500:100:217:3,Greater North Sea,29F0,27.7.d
1500:100:217:4,Greater North Sea,29F0,27.7.d
1500:100:218:1,Greater North Sea,29F0,27.7.d
1500:100:218:2,Greater North Sea,29F0,27.7.d
1500:100:218:3,Greater North Sea,29F0,27.7.d
1500:100:218:4,Greater North Sea,29F0,27.7.d
1500:100:219:1,Greater North Sea,29F0,27.7.d
1500:100:219:2,Greater North Sea,29F0,27.7.d
1500:100:219:3,Greater North Sea,29F0,27.7.d
1500:100:219:4,Greater North Sea,29F0,27.7.d
1500:100:225:1,Greater North Sea,29F0,27.7.d
1500:100:225:2,Greater North Sea,29F0,27.7.d
1500:100:225:3,Greater North Sea,29F0,27.7.d
1500:100:225:4,Greater North Sea,29F0,27.7.d
1500:100:226:1,Greater North Sea,29F0,27.7.d
1500:100:226:2,Greater North Sea,29F0,27.7.d
1500:100:226:3,Greater North Sea,29F0,27.7.d
1500:100:226:4,Greater North Sea,29F0,27.7.d
1500:100:227:1,Greater North Sea,29F0,27.7.d
1500:100:227:2,Greater North Sea,29F0,27.7.d
1500:100:227:3,Greater North Sea,29F0,27.7.d
1500:100:227:4,Greater North Sea,29F0,27.7.d
1500:100:228:1,Greater North Sea,29F0,27.7.d
1500:100:228:2,Greater North Sea,29F0,27.7.d
1500:100:228:3,Greater North Sea,29F0,27.7.d
1500:100:228:4,Greater North Sea,29F0,27.7.d
1500:100:229:1,Greater North Sea,29F0,27.7.d
1500:100:229:2,Greater North Sea,29F0,27.7.d
1500:100:229:3,Greater North Sea,29F0,27.7.d
1500:100:229:4,Greater North Sea,29F0,27.7.d
1500:100:235:1,Greater North Sea,29F0,27.7.d
1500:100:235:2,Greater North Sea,29F0,27.7.d
1500:100:235:3,Greater North Sea,29F0,27.7.d
1500:100:235:4,Greater North Sea,29F0,27.7.d
1500:100:236:1,Greater North Sea,29F0,27.7.d
1500:100:236:2,Greater North Sea,29F0,27.7.d
1500:100:236:3,Greater North Sea,29F0,27.7.d
1500:100:236:4,Greater North Sea,29F0,27.7.d
1500:100:237:1,Greater North Sea,29F0,27.7.d
1500:100:237:2,Greater North Sea,29F0,27.7.d
1500:100:237:3,Greater North Sea,29F0,27.7.d
1500:100:237:4,Greater North Sea,29F0,27.7.d
1500:100:238:1,Greater North Sea,29F0,27.7.d
1500:100:238:2,Greater North Sea,29F0,27.7.d
1500:100:238:3,Greater North Sea,29F0,27.7.d
1500:100:238:4,Greater North Sea,29F0,27.7.d
1500:100:239:1,Greater North Sea,29F0,27.7.d
1500:100:239:2,Greater North Sea,29F0,27.7.d
1500:100:239:3,Greater North Sea,29F0,27.7.d
1500:100:239:4,Greater North Sea,29F0,27.7.d
1500:100:245:1,Greater North Sea,29F0,27.7.d
1500:100:245:2,Greater North Sea,29F0,27.7.d
1500:100:245:3,Greater North Sea,29F0,27.7.d
1500:100:245:4,Greater North Sea,29F0,27.7.d
1500:100:246:1,Greater North Sea,29F0,27.7.d
1500:100:246:2,Greater North Sea,29F0,27.7.d
1500:100:246:3,Greater North Sea,29F0,27.7.d
1500:100:246:4,Greater North Sea,29F0,27.7.d
1500:100:247:1,Greater North Sea,29F0,27.7.d
1500:100:247:2,Greater North Sea,29F0,27.7.d
1500:100:247:3,Greater North Sea,29F0,27.7.d
1500:100:247:4,Greater North Sea,29F0,27.7.d
1500:100:248:1,Greater North Sea,29F0,27.7.d
1500:100:248:2,Greater North Sea,29F0,27.7.d
1500:100:248:3,Greater North Sea,29F0,27.7.d
1500:100:248:4,Greater North Sea,29F0,27.7.d
1500:100:249:1,Greater North Sea,29F0,27.7.d
1500:100:249:2,Greater North Sea,29F0,27.7.d
1500:100:249:3,Greater North Sea,29F0,27.7.d
1500:100:249:4,Greater North Sea,29F0,27.7.d
1500:100:350:1,Greater North Sea,30F0,27.7.d
1500:100:350:2,Greater North Sea,30F0,27.7.d
1500:100:350:3,Greater North Sea,30F0,27.7.d
1500:100:350:4,Greater North Sea,30F0,27.7.d
1500:100:351:1,Greater North Sea,30F0,27.7.d
1500:100:351:2,Greater North Sea,30F0,27.7.d
1500:100:351:3,Greater North Sea,30F0,27.7.d
1500:100:351:4,Greater North Sea,30F0,27.7.d
1500:100:352:1,Greater North Sea,30F0,27.7.d
1500:100:352:2,Greater North Sea,30F0,27.7.d
1500:100:352:3,Greater North Sea,30F0,27.7.d
1500:100:352:4,Greater North Sea,30F0,27.7.d
1500:100:353:1,Greater North Sea,30F0,27.7.d
1500:100:353:2,Greater North Sea,30F0,27.7.d
1500:100:353:3,Greater North Sea,30F0,27.7.d
1500:100:353:4,Greater North Sea,30F0,27.7.d
1500:100:354:1,Greater North Sea,30F0,27.7.d
1500:100:354:2,Greater North Sea,30F0,27.7.d
1500:100:354:3,Greater North Sea,30F0,27.7.d
1500:100:354:4,Greater North Sea,30F0,27.7.d
1500:100:360:1,Greater North Sea,30F0,27.7.d
1500:100:360:2,Greater North Sea,30F0,27.7.d
1500:100:360:3,Greater North Sea,30F0,27.7.d
1500:100:360:4,Greater North Sea,30F0,27.7.d
1500:100:361:1,Greater North Sea,30F0,27.7.d
1500:100:361:2,Greater North Sea,30F0,27.7.d
1500:100:361:3,Greater North Sea,30F0,27.7.d
1500:100:361:4,Greater North Sea,30F0,27.7.d
1500:100:362:1,Greater North Sea,30F0,27.7.d
1500:100:362:2,Greater North Sea,30F0,27.7.d
1500:100:362:3,Greater North Sea,30F0,27.7.d
1500:100:362:4,Greater North Sea,30F0,27.7.d
1500:100:363:1,Greater North Sea,30F0,27.7.d
1500:100:363:2,Greater North Sea,30F0,27.7.d
1500:100:363:3,Greater North Sea,30F0,27.7.d
1500:100:363:4,Greater North Sea,30F0,27.7.d
1500:100:364:1,Greater North Sea,30F0,27.7.d
1500:100:364:2,Greater North Sea,30F0,27.7.d
1500:100:364:3,Greater North Sea,30F0,27.7.d
1500:100:364:4,Greater North Sea,30F0,27.7.d
1500:100:370:1,Greater North Sea,30F0,27.7.d
1500:100:370:2,Greater North Sea,30F0,27.7.d
1500:100:370:3,Greater North Sea,30F0,27.7.d
1500:100:370:4,Greater North Sea,30F0,27.7.d
1500:100:371:1,Greater North Sea,30F0,27.7.d
1500:100:371:2,Greater North Sea,30F0,27.7.d
1500:100:371:3,NA,30F0,NA
1500:100:372:1,Greater North Sea,30F0,27.7.d
1500:100:372:2,Greater North Sea,30F0,27.7.d
1500:100:372:4,NA,30F0,NA
1500:100:373:1,Greater North Sea,30F0,27.7.d
1500:100:373:2,Greater North Sea,30F0,27.7.d
1500:100:373:3,Greater North Sea,30F0,27.7.d
1500:100:373:4,Greater North Sea,30F0,27.7.d
1500:100:374:1,Greater North Sea,30F0,27.7.d
1500:100:374:2,Greater North Sea,30F0,27.7.d
1500:100:374:3,Greater North Sea,30F0,27.7.d
1500:100:374:4,Greater North Sea,30F0,27.7.d
1500:100:455:1,Greater North Sea,30F0,27.7.d
1500:100:455:2,Greater North Sea,30F0,27.7.d
1500:100:455:3,Greater North Sea,30F0,27.7.d
1500:100:455:4,Greater North Sea,30F0,27.7.d
1500:100:456:1,Greater North Sea,30F0,27.7.d
1500:100:456:2,Greater North Sea,30F0,27.7.d
1500:100:456:3,Greater North Sea,30F0,27.7.d
1500:100:456:4,Greater North Sea,30F0,27.7.d
1500:100:457:1,Greater North Sea,30F0,27.7.d
1500:100:457:2,Greater North Sea,30F0,27.7.d
1500:100:457:3,Greater North Sea,30F0,27.7.d
1500:100:457:4,Greater North Sea,30F0,27.7.d
1500:100:458:1,Greater North Sea,30F0,27.7.d
1500:100:458:2,Greater North Sea,30F0,27.7.d
1500:100:458:3,Greater North Sea,30F0,27.7.d
1500:100:458:4,Greater North Sea,30F0,27.7.d
1500:100:459:1,Greater North Sea,30F0,27.7.d
1500:100:459:2,Greater North Sea,30F0,27.7.d
1500:100:459:3,Greater North Sea,30F0,27.7.d
1500:100:459:4,Greater North Sea,30F0,27.7.d
1500:100:465:1,Greater North Sea,30F0,27.7.d
1500:100:465:2,Greater North Sea,30F0,27.7.d
1500:100:465:3,Greater North Sea,30F0,27.7.d
1500:100:465:4,Greater North Sea,30F0,27.7.d
1500:100:466:1,Greater North Sea,30F0,27.7.d
1500:100:466:2,Greater North Sea,30F0,27.7.d
1500:100:466:3,Greater North Sea,30F0,27.7.d
1500:100:466:4,Greater North Sea,30F0,27.7.d
1500:100:467:1,Greater North Sea,30F0,27.7.d
1500:100:467:2,Greater North Sea,30F0,27.7.d
1500:100:467:3,Greater North Sea,30F0,27.7.d
1500:100:467:4,Greater North Sea,30F0,27.7.d
1500:100:468:1,Greater North Sea,30F0,27.7.d
1500:100:468:2,Greater North Sea,30F0,27.7.d
1500:100:468:3,Greater North Sea,30F0,27.7.d
1500:100:468:4,Greater North Sea,30F0,27.7.d
1500:100:469:1,Greater North Sea,30F0,27.7.d
1500:100:469:2,Greater North Sea,30F0,27.7.d
1500:100:469:3,Greater North Sea,30F0,27.7.d
1500:100:469:4,Greater North Sea,30F0,27.7.d
1500:100:475:1,Greater North Sea,30F0,27.7.d
1500:100:475:2,Greater North Sea,30F0,27.7.d
1500:100:475:3,Greater North Sea,30F0,27.7.d
1500:100:475:4,Greater North Sea,30F0,27.7.d
1500:100:476:1,Greater North Sea,30F0,27.7.d
1500:100:476:2,Greater North Sea,30F0,27.7.d
1500:100:476:3,Greater North Sea,30F0,27.7.d
1500:100:476:4,Greater North Sea,30F0,27.7.d
1500:100:477:1,Greater North Sea,30F0,27.7.d
1500:100:477:2,Greater North Sea,30F0,27.7.d
1500:100:477:3,Greater North Sea,30F0,27.7.d
1500:100:477:4,Greater North Sea,30F0,27.7.d
1500:100:478:1,Greater North Sea,30F0,27.7.d
1500:100:478:2,Greater North Sea,30F0,27.7.d
1500:100:478:3,Greater North Sea,30F0,27.7.d
1500:100:478:4,Greater North Sea,30F0,27.7.d
1500:100:479:1,Greater North Sea,30F0,27.7.d
1500:100:479:2,Greater North Sea,30F0,27.7.d
1500:100:479:3,Greater North Sea,30F0,27.7.d
1500:100:479:4,Greater North Sea,30F0,27.7.d
1500:100:485:1,Greater North Sea,30F0,27.7.d
1500:100:485:2,Greater North Sea,30F0,27.7.d
1500:100:486:1,Greater North Sea,30F0,27.7.d
1500:100:486:2,Greater North Sea,30F0,27.7.d
1500:100:486:4,Greater North Sea,30F0,27.7.d
1500:100:487:1,Greater North Sea,30F0,27.7.d
1500:100:487:2,Greater North Sea,30F0,27.7.d
1500:100:487:3,Greater North Sea,30F0,27.7.d
1500:100:487:4,Greater North Sea,30F0,27.7.d
1500:100:488:1,Greater North Sea,30F0,27.7.d
1500:100:488:2,Greater North Sea,30F0,27.7.d
1500:100:488:3,Greater North Sea,30F0,27.7.d
1500:100:488:4,Greater North Sea,30F0,27.7.d
1500:100:489:1,Greater North Sea,30F0,27.7.d
1500:100:489:2,Greater North Sea,30F0,27.7.d
1500:100:489:3,Greater North Sea,30F0,27.7.d
1500:100:489:4,Greater North Sea,30F0,27.7.d
1500:100:497:2,Greater North Sea,30F0,27.7.d
1500:100:498:1,Greater North Sea,30F0,27.7.d
1500:100:498:2,NA,30F0,NA
1500:100:499:1,NA,30F0,NA
1500:100:499:2,NA,30F0,NA
1500:100:499:4,Greater North Sea,30F0,27.7.d
1500:101:100:1,Greater North Sea,29F1,27.7.d
1500:101:100:2,Greater North Sea,29F1,27.7.d
1500:101:100:3,Greater North Sea,29F1,27.7.d
1500:101:100:4,Greater North Sea,29F1,27.7.d
1500:101:101:1,Greater North Sea,29F1,27.7.d
1500:101:101:2,Greater North Sea,29F1,27.7.d
1500:101:101:3,Greater North Sea,29F1,27.7.d
1500:101:101:4,Greater North Sea,29F1,27.7.d
1500:101:102:1,Greater North Sea,29F1,27.7.d
1500:101:102:2,Greater North Sea,29F1,27.7.d
1500:101:102:3,Greater North Sea,29F1,27.7.d
1500:101:102:4,Greater North Sea,29F1,27.7.d
1500:101:103:1,NA,29F1,NA
1500:101:103:3,Greater North Sea,29F1,27.7.d
1500:101:103:4,Greater North Sea,29F1,27.7.d
1500:101:104:3,NA,29F1,NA
1500:101:110:1,Greater North Sea,29F1,27.7.d
1500:101:110:2,Greater North Sea,29F1,27.7.d
1500:101:110:3,Greater North Sea,29F1,27.7.d
1500:101:110:4,Greater North Sea,29F1,27.7.d
1500:101:111:1,Greater North Sea,29F1,27.7.d
1500:101:111:2,Greater North Sea,29F1,27.7.d
1500:101:111:3,Greater North Sea,29F1,27.7.d
1500:101:111:4,Greater North Sea,29F1,27.7.d
1500:101:112:1,Greater North Sea,29F1,27.7.d
1500:101:112:2,Greater North Sea,29F1,27.7.d
1500:101:112:3,Greater North Sea,29F1,27.7.d
1500:101:112:4,Greater North Sea,29F1,27.7.d
1500:101:113:1,Greater North Sea,29F1,27.7.d
1500:101:113:2,Greater North Sea,29F1,27.7.d
1500:101:113:3,Greater North Sea,29F1,27.7.d
1500:101:113:4,Greater North Sea,29F1,27.7.d
1500:101:114:1,Greater North Sea,29F1,27.7.d
1500:101:114:2,NA,29F1,NA
1500:101:114:3,Greater North Sea,29F1,27.7.d
1500:101:114:4,Greater North Sea,29F1,27.7.d
1500:101:120:1,Greater North Sea,29F1,27.7.d
1500:101:120:2,Greater North Sea,29F1,27.7.d
1500:101:120:3,Greater North Sea,29F1,27.7.d
1500:101:120:4,Greater North Sea,29F1,27.7.d
1500:101:121:1,Greater North Sea,29F1,27.7.d
1500:101:121:2,Greater North Sea,29F1,27.7.d
1500:101:121:3,Greater North Sea,29F1,27.7.d
1500:101:121:4,Greater North Sea,29F1,27.7.d
1500:101:122:1,Greater North Sea,29F1,27.7.d
1500:101:122:2,Greater North Sea,29F1,27.7.d
1500:101:122:3,Greater North Sea,29F1,27.7.d
1500:101:122:4,Greater North Sea,29F1,27.7.d
1500:101:123:1,Greater North Sea,29F1,27.7.d
1500:101:123:2,Greater North Sea,29F1,27.7.d
1500:101:123:3,Greater North Sea,29F1,27.7.d
1500:101:123:4,Greater North Sea,29F1,27.7.d
1500:101:124:1,Greater North Sea,29F1,27.7.d
1500:101:124:2,Greater North Sea,29F1,27.7.d
1500:101:124:3,Greater North Sea,29F1,27.7.d
1500:101:124:4,Greater North Sea,29F1,27.7.d
1500:101:130:1,Greater North Sea,29F1,27.7.d
1500:101:130:2,Greater North Sea,29F1,27.7.d
