c_square,EcoRegion,ICESRect,StatArea
1400:390:130:1,NA,27F0,NA
1400:390:130:3,Greater North Sea,27F0,27.7.d
1400:390:130:4,Greater North Sea,27F0,27.7.d
1400:390:131:3,NA,27F0,NA
1400:390:140:1,Greater North Sea,27F0,27.7.d
1400:390:140:2,Greater North Sea,27F0,27.7.d
1400:390:140:3,Greater North Sea,27F0,27.7.d
1400:390:140:4,Greater North Sea,27F0,27.7.d
1400:390:141:1,Greater North Sea,27F0,27.7.d
1400:390:141:2,Greater North Sea,27F0,27.7.d
1400:390:141:3,Greater North Sea,27F0,27.7.d
1400:390:142:1,NA,27F0,NA
1400:390:142:2,NA,27F0,NA
1400:390:143:1,NA,27F0,NA
1400:390:143:2,NA,27F0,NA
1400:390:143:4,NA,27F0,NA
1400:390:144:1,NA,27F0,NA
1400:390:144:3,NA,27F0,NA
1400:390:144:4,Greater North Sea,27F0,27.7.d
1400:390:350:1,Greater North Sea,28F0,27.7.d
1400:390:350:2,NA,28F0,NA
1400:390:350:3,Greater North Sea,28F0,27.7.d
1400:390:350:4,Greater North Sea,28F0,27.7.d
1400:390:351:1,NA,28F0,NA
1400:390:351:3,NA,28F0,NA
1400:390:360:1,Greater North Sea,28F0,27.7.d
1400:390:360:2,Greater North Sea,28F0,27.7.d
1400:390:360:3,Greater North Sea,28F0,27.7.d
1400:390:360:4,Greater North Sea,28F0,27.7.d
1400:390:361:1,Greater North Sea,28F0,27.7.d
1400:390:361:2,NA,28F0,NA
1400:390:361:3,Greater North Sea,28F0,27.7.d
1400:390:361:4,NA,28F0,NA
1400:390:370:1,Greater North Sea,28F0,27.7.d
1400:390:370:2,Greater North Sea,28F0,27.7.d
1400:390:370:3,Greater North Sea,28F0,27.7.d
1400:390:370:4,Greater North Sea,28F0,27.7.d
1400:390:371:1,Greater North Sea,28F0,27.7.d
1400:390:371:2,Greater North Sea,28F0,27.7.d
1400:390:371:3,Greater North Sea,28F0,27.7.d
1400:390:371:4,Greater North Sea,28F0,27.7.d
1400:390:372:1,Greater North Sea,28F0,27.7.d
1400:390:372:2,NA,28F0,NA
1400:390:372:3,Greater North Sea,28F0,27.7.d
1400:390:372:4,Greater North Sea,28F0,27.7.d
1400:390:373:1,NA,28F0,NA
1400:390:373:3,Greater North Sea,28F0,27.7.d
1400:390:373:4,Greater North Sea,28F0,27.7.d
1400:390:374:3,NA,28F0,NA
1400:390:374:4,NA,28F0,NA
1400:390:380:1,Greater North Sea,28F0,27.7.d
1400:390:380:2,Greater North Sea,28F0,27.7.d
1400:390:380:3,Greater North Sea,28F0,27.7.d
1400:390:380:4,Greater North Sea,28F0,27.7.d
1400:390:381:1,Greater North Sea,28F0,27.7.d
1400:390:381:2,Greater North Sea,28F0,27.7.d
1400:390:381:3,Greater North Sea,28F0,27.7.d
1400:390:381:4,Greater North Sea,28F0,27.7.d
1400:390:382:1,Greater North Sea,28F0,27.7.d
1400:390:382:2,Greater North Sea,28F0,27.7.d
1400:390:382:3,Greater North Sea,28F0,27.7.d
1400:390:382:4,Greater North Sea,28F0,27.7.d
1400:390:383:1,Greater North Sea,28F0,27.7.d
1400:390:383:2,Greater North Sea,28F0,27.7.d
1400:390:383:3,Greater North Sea,28F0,27.7.d
1400:390:383:4,Greater North Sea,28F0,27.7.d
1400:390:384:1,Greater North Sea,28F0,27.7.d
1400:390:384:2,Greater North Sea,28F0,27.7.d
1400:390:384:3,Greater North Sea,28F0,27.7.d
1400:390:384:4,Greater North Sea,28F0,27.7.d
1400:390:390:1,Greater North Sea,28F0,27.7.d
1400:390:390:2,Greater North Sea,28F0,27.7.d
1400:390:390:3,Greater North Sea,28F0,27.7.d
1400:390:390:4,Greater North Sea,28F0,27.7.d
1400:390:391:1,Greater North Sea,28F0,27.7.d
1400:390:391:2,Greater North Sea,28F0,27.7.d
1400:390:391:3,Greater North Sea,28F0,27.7.d
1400:390:391:4,Greater North Sea,28F0,27.7.d
1400:390:392:1,Greater North Sea,28F0,27.7.d
1400:390:392:2,Greater North Sea,28F0,27.7.d
1400:390:392:3,Greater North Sea,28F0,27.7.d
1400:390:392:4,Greater North Sea,28F0,27.7.d
1400:390:393:1,Greater North Sea,28F0,27.7.d
1400:390:393:2,Greater North Sea,28F0,27.7.d
1400:390:393:3,Greater North Sea,28F0,27.7.d
1400:390:393:4,Greater North Sea,28F0,27.7.d
1400:390:394:1,Greater North Sea,28F0,27.7.d
1400:390:394:2,Greater North Sea,28F0,27.7.d
1400:390:394:3,Greater North Sea,28F0,27.7.d
1400:390:394:4,Greater North Sea,28F0,27.7.d
1400:390:485:1,NA,28F0,NA
1400:390:485:2,NA,28F0,NA
1400:390:485:3,Greater North Sea,28F0,27.7.d
1400:390:485:4,Greater North Sea,28F0,27.7.d
1400:390:486:3,Greater North Sea,28F0,27.7.d
1400:390:486:4,Greater North Sea,28F0,27.7.d
1400:390:487:3,Greater North Sea,28F0,27.7.d
1400:390:487:4,Greater North Sea,28F0,27.7.d
1400:390:488:3,NA,28F0,NA
1400:390:495:1,Greater North Sea,28F0,27.7.d
1400:390:495:2,Greater North Sea,28F0,27.7.d
1400:390:495:3,Greater North Sea,28F0,27.7.d
1400:390:495:4,Greater North Sea,28F0,27.7.d
1400:390:496:1,Greater North Sea,28F0,27.7.d
1400:390:496:2,Greater North Sea,28F0,27.7.d
1400:390:496:3,Greater North Sea,28F0,27.7.d
1400:390:496:4,Greater North Sea,28F0,27.7.d
1400:390:497:1,Greater North Sea,28F0,27.7.d
1400:390:497:2,Greater North Sea,28F0,27.7.d
1400:390:497:3,Greater North Sea,28F0,27.7.d
1400:390:497:4,Greater North Sea,28F0,27.7.d
1400:390:498:1,Greater North Sea,28F0,27.7.d
1400:390:498:2,Greater North Sea,28F0,27.7.d
1400:390:498:3,Greater North Sea,28F0,27.7.d
1400:390:498:4,Greater North Sea,28F0,27.7.d
1400:390:499:1,Greater North Sea,28F0,27.7.d
1400:390:499:2,Greater North Sea,28F0,27.7.d
1400:390:499:3,Greater North Sea,28F0,27.7.d
1400:390:499:4,Greater North Sea,28F0,27.7.d
1400:391:390:1,Greater North Sea,28F1,27.7.d
1400:391:390:2,NA,28F1,NA
1400:391:390:3,Greater North Sea,28F1,27.7.d
1400:391:390:4,Greater North Sea,28F1,27.7.d
1400:391:391:1,NA,28F1,NA
1400:391:391:3,Greater North Sea,28F1,27.7.d
1400:391:391:4,Greater North Sea,28F1,27.7.d
1400:391:392:3,NA,28F1,NA
1500:100:100:1,Greater North Sea,29F0,27.7.d
1500:100:100:2,Greater North Sea,29F0,27.7.d
1500:100:100:3,Greater North Sea,29F0,27.7.d
1500:100:100:4,Greater North Sea,29F0,27.7.d
1500:100:101:1,Greater North Sea,29F0,27.7.d
1500:100:101:2,Greater North Sea,29F0,27.7.d
1500:100:101:3,Greater North Sea,29F0,27.7.d
1500:100:101:4,Greater North Sea,29F0,27.7.d
1500:100:102:1,Greater North Sea,29F0,27.7.d
1500:100:102:2,Greater North Sea,29F0,27.7.d
1500:100:102:3,Greater North Sea,29F0,27.7.d
1500:100:102:4,Greater North Sea,29F0,27.7.d
1500:100:103:1,Greater North Sea,29F0,27.7.d
1500:100:103:2,Greater North Sea,29F0,27.7.d
1500:100:103:3,Greater North Sea,29F0,27.7.d
1500:100:103:4,Greater North Sea,29F0,27.7.d
1500:100:104:1,Greater North Sea,29F0,27.7.d
1500:100:104:2,Greater North Sea,29F0,27.7.d
1500:100:104:3,Greater North Sea,29F0,27.7.d
1500:100:104:4,Greater North Sea,29F0,27.7.d
1500:100:110:1,Greater North Sea,29F0,27.7.d
1500:100:110:2,Greater North Sea,29F0,27.7.d
1500:100:110:3,Greater North Sea,29F0,27.7.d
1500:100:110:4,Greater North Sea,29F0,27.7.d
1500:100:111:1,Greater North Sea,29F0,27.7.d
1500:100:111:2,Greater North Sea,29F0,27.7.d
1500:100:111:3,Greater North Sea,29F0,27.7.d
1500:100:111:4,Greater North Sea,29F0,27.7.d
1500:100:112:1,Greater North Sea,29F0,27.7.d
1500:100:112:2,Greater North Sea,29F0,27.7.d
1500:100:112:3,Greater North Sea,29F0,27.7.d
1500:100:112:4,Greater North Sea,29F0,27.7.d
1500:100:113:1,Greater North Sea,29F0,27.7.d
1500:100:113:2,Greater North Sea,29F0,27.7.d
1500:100:113:3,Greater North Sea,29F0,27.7.d
1500:100:113:4,Greater North Sea,29F0,27.7.d
1500:100:114:1,Greater North Sea,29F0,27.7.d
1500:100:114:2,Greater North Sea,29F0,27.7.d
1500:100:114:3,Greater North Sea,29F0,27.7.d
1500:100:114:4,Greater North Sea,29F0,27.7.d
1500:100:120:1,Greater North Sea,29F0,27.7.d
1500:100:120:2,Greater North Sea,29F0,27.7.d
