FleetSeg;Nb_Vessels;Nb_crew;Annual_other_income;Landing_costs_percent;Crewshare_and_unpaid_labour_costs_percent;Other_variable_costs_per_unit_effort;Annual_insurance_costs_per_crew;Standard_labour_hour_opportunity_costs;Standard_annual_full_time_employment_hours;Other_annual_fixed_costs;Vessel_value;Annual_depreciation_rate;Opportunity_interest_rate;Annual_discount_rate
DEU;1.474667e+03;1.558667e+03;4.446118e+06;0.343465949378091;0.347897978664846;110.33558553056;0;34.09;1.098000e+03;1.604958e+07;1.036545e+08;4;4;4
DNK;1.866667e+03;1.355653e+03;7.756029e+06;0.000639381745651162;0.268748977146023;357.478575659956;0;42.48;1.344710e+03;2.052008e+07;6.123661e+08;4;4;4
EST;1.533333e+03;2.139667e+03;1.933647e+05;0;0.376251805323752;8.98941815063009;0;11.74;4.500000e+02;5.790577e+05;1.891579e+07;4;4;4
FIN;2.984333e+03;1.465667e+03;1.810859e+06;0.0703566761849949;0.197879042371487;23.6850406431199;0;32.72;3.376667e+02;4.762383e+06;6.504480e+07;4;4;4
LAT;3.420000e+02;6.520000e+02;1.157384e+06;0;0.179660596396422;159.930801063257;0;8.06;2.646667e+02;4.416762e+06;1.029657e+07;4;4;4
LIT;1.493333e+02;6.826667e+02;9.302079e+05;0.084246100787887;0.11232101659181;3510.66086381031;0;8;4.870967e+02;1.515556e+07;1.171277e+08;4;4;4
POL;8.620000e+02;2.558333e+03;3.940210e+05;-0.000208271137040991;0.301826515711989;59.7181946977401;0;9.36;1.527667e+03;4.583298e+06;1.062313e+08;4;4;4
SWE;1.273000e+03;1.513590e+03;9.831595e+06;0;0.264997575973636;124.97258141214;0;38.33;7.305533e+02;8.219721e+06;1.446526e+08;4;4;4
